id,camaraPk,cargos,codinomes,curriculo,foto,legislaturas,nome,profissoes,senadoId,uf
1571,178948,,Beto Rosado,,,55,Carlos Alberto de Sousa Rosado Segundo,Agrônomo,,
1572,178949,,Zenaide Maia,,,55,Zenaide Maia Calado Pereira Dos Santos,Médica,,
1573,178950,,Antônio Jácome,,,55,Antonio Jacome de Lima Junior,"Advogado(a),médico(a),teólogo",,
1574,178951,,Rafael Motta,,,55,Rafael Huete da Motta,Engenheiro,,
1575,178952,,Walter Alves,,,55,Walter Pereira Alves,Administrador,,
1576,178953,,Expedito Netto,,,55,Expedito Goncalves Ferreira Netto,,,
1577,178954,,Lucio Mosquini,,,55,Lucio Antonio Mosquini,Engenheiro Eletricista,,
1578,178955,,Luiz Cláudio,,,55,Luiz Claudio Pereira Alves,"Professor(a),técnico Agrícola",,
1579,178956,,Mariana Carvalho,,,55,Mariana Fonseca Ribeiro Carvalho de Moraes,"Bacharela Em Direito,médica",,
1580,178957,,Abel Mesquita Jr.,,,55,Abel Salvador Mesquita Junior,Empresário,,
1581,178958,,Carlos Andrade,Votou contra a cassação de Eduardo Cunha,,55,Carlos Augusto Andrade Silva,"Administrador,eletricitário",,
1582,178959,,Hiran Gonçalves,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Hiran Manuel Goncalves da Silva,"Médico Legista,médico(a)",,
1583,178960,,Remídio Monai,,,55,Remidio Monai Montessi,,,
1584,178961,,Shéridan,,,55,Shéridan Estérfany Oliveira de Anchieta,Psicóloga,,
1585,178962,,Carlos Gomes,,,55,Antonio Carlos Gomes da Silva,,,
1586,178963,,Covatti Filho,,,55,Luis Antonio Franciscatto Covatti,,,
1587,178964,,Heitor Schuch,,,55,Heitor Jose Schuch,Agricultor Familiar,,
1588,178965,,João Derly,,,55,Joao Derly de Oliveira Nunes Junior,,,
1589,178966,,Geovania De Sá,,,55,Geovania de Sa Rodrigues,Administradora de Empresas,,
1590,178967,,,"Arquivo 7, p. 4",,,Joao Paulo Karam Kleinubing,,,
1591,178968,,Adelson Barreto,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,,55,Adelson Barreto Dos Santos,"Jornalista,radialista",,
1592,178969,,Fábio Mitidieri,,,55,Fabio Cruz Mitidieri,,,
1593,178970,,João Daniel,,,55,Joao Somariva Daniel,Agricultor,,
1594,178971,,Jony Marcos,,,55,Jony Marcos de Souza Araujo,Radialista,,
